"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: maxPrimeNumber"
"benchmark.jmh.CalculatorBenchmark.runBenchmarkSieveOfEratosthenes","sample",1,1063994,"0,005961","0,000021","ms/op",1000
"benchmark.jmh.CalculatorBenchmark.runBenchmarkSieveOfEratosthenes:runBenchmarkSieveOfEratosthenes·p0.00","sample",1,1,"0,002200",NaN,"ms/op",1000
"benchmark.jmh.CalculatorBenchmark.runBenchmarkSieveOfEratosthenes:runBenchmarkSieveOfEratosthenes·p0.50","sample",1,1,"0,006400",NaN,"ms/op",1000
"benchmark.jmh.CalculatorBenchmark.runBenchmarkSieveOfEratosthenes:runBenchmarkSieveOfEratosthenes·p0.90","sample",1,1,"0,007296",NaN,"ms/op",1000
"benchmark.jmh.CalculatorBenchmark.runBenchmarkSieveOfEratosthenes:runBenchmarkSieveOfEratosthenes·p0.95","sample",1,1,"0,009200",NaN,"ms/op",1000
"benchmark.jmh.CalculatorBenchmark.runBenchmarkSieveOfEratosthenes:runBenchmarkSieveOfEratosthenes·p0.99","sample",1,1,"0,012400",NaN,"ms/op",1000
"benchmark.jmh.CalculatorBenchmark.runBenchmarkSieveOfEratosthenes:runBenchmarkSieveOfEratosthenes·p0.999","sample",1,1,"0,049152",NaN,"ms/op",1000
"benchmark.jmh.CalculatorBenchmark.runBenchmarkSieveOfEratosthenes:runBenchmarkSieveOfEratosthenes·p0.9999","sample",1,1,"0,150273",NaN,"ms/op",1000
"benchmark.jmh.CalculatorBenchmark.runBenchmarkSieveOfEratosthenes:runBenchmarkSieveOfEratosthenes·p1.00","sample",1,1,"1,271808",NaN,"ms/op",1000
"benchmark.jmh.CalculatorBenchmark.runBenchmarkSieveOfEratosthenes","sample",1,954772,"0,052292","0,000074","ms/op",10000
"benchmark.jmh.CalculatorBenchmark.runBenchmarkSieveOfEratosthenes:runBenchmarkSieveOfEratosthenes·p0.00","sample",1,1,"0,021696",NaN,"ms/op",10000
"benchmark.jmh.CalculatorBenchmark.runBenchmarkSieveOfEratosthenes:runBenchmarkSieveOfEratosthenes·p0.50","sample",1,1,"0,058752",NaN,"ms/op",10000
"benchmark.jmh.CalculatorBenchmark.runBenchmarkSieveOfEratosthenes:runBenchmarkSieveOfEratosthenes·p0.90","sample",1,1,"0,070272",NaN,"ms/op",10000
"benchmark.jmh.CalculatorBenchmark.runBenchmarkSieveOfEratosthenes:runBenchmarkSieveOfEratosthenes·p0.95","sample",1,1,"0,079872",NaN,"ms/op",10000
"benchmark.jmh.CalculatorBenchmark.runBenchmarkSieveOfEratosthenes:runBenchmarkSieveOfEratosthenes·p0.99","sample",1,1,"0,104192",NaN,"ms/op",10000
"benchmark.jmh.CalculatorBenchmark.runBenchmarkSieveOfEratosthenes:runBenchmarkSieveOfEratosthenes·p0.999","sample",1,1,"0,177664",NaN,"ms/op",10000
"benchmark.jmh.CalculatorBenchmark.runBenchmarkSieveOfEratosthenes:runBenchmarkSieveOfEratosthenes·p0.9999","sample",1,1,"0,712704",NaN,"ms/op",10000
"benchmark.jmh.CalculatorBenchmark.runBenchmarkSieveOfEratosthenes:runBenchmarkSieveOfEratosthenes·p1.00","sample",1,1,"1,781760",NaN,"ms/op",10000
"benchmark.jmh.CalculatorBenchmark.runBenchmarkSieveOfEratosthenes","sample",1,186714,"0,267575","0,001095","ms/op",50000
"benchmark.jmh.CalculatorBenchmark.runBenchmarkSieveOfEratosthenes:runBenchmarkSieveOfEratosthenes·p0.00","sample",1,1,"0,151808",NaN,"ms/op",50000
"benchmark.jmh.CalculatorBenchmark.runBenchmarkSieveOfEratosthenes:runBenchmarkSieveOfEratosthenes·p0.50","sample",1,1,"0,206336",NaN,"ms/op",50000
"benchmark.jmh.CalculatorBenchmark.runBenchmarkSieveOfEratosthenes:runBenchmarkSieveOfEratosthenes·p0.90","sample",1,1,"0,467456",NaN,"ms/op",50000
"benchmark.jmh.CalculatorBenchmark.runBenchmarkSieveOfEratosthenes:runBenchmarkSieveOfEratosthenes·p0.95","sample",1,1,"0,591872",NaN,"ms/op",50000
"benchmark.jmh.CalculatorBenchmark.runBenchmarkSieveOfEratosthenes:runBenchmarkSieveOfEratosthenes·p0.99","sample",1,1,"0,687104",NaN,"ms/op",50000
"benchmark.jmh.CalculatorBenchmark.runBenchmarkSieveOfEratosthenes:runBenchmarkSieveOfEratosthenes·p0.999","sample",1,1,"1,014927",NaN,"ms/op",50000
"benchmark.jmh.CalculatorBenchmark.runBenchmarkSieveOfEratosthenes:runBenchmarkSieveOfEratosthenes·p0.9999","sample",1,1,"2,577195",NaN,"ms/op",50000
"benchmark.jmh.CalculatorBenchmark.runBenchmarkSieveOfEratosthenes:runBenchmarkSieveOfEratosthenes·p1.00","sample",1,1,"13,697024",NaN,"ms/op",50000
